0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-17	4.60E-16	3.64E-15	5.47E-14	6.35E-13	6.45E-12	5.82E-11	4.67E-10	3.33E-09	2.11E-08	1.19E-07	5.96E-07	2.66E-06	1.06E-05	3.76E-05	1.19E-04	3.39E-04	8.64E-04	0.001977992	0.004080543	0.007614953	0.012914301	0.020015535	0.02854596	0.037774235	0.046822942	0.054942948	0.06170518	0.067030322	0.07108939	0.074159311	0.076509977	0.078352529	0.081578614	0.083651743	0.085066816	0.086061393	0.086761832	0.087241062	0.08754521	0.087706209	0.087747938	0.087689263	0.087545627	0.087329948	0.087053155	0.086724569	0.08635217	0.085942779	0.085502265	0.085035669	0.084547298	0.084040868	0.082986131	0.081891884	0.080773154	0.079641006	0.078503528	0.07736663	0.076234637	0.075110658	0.073996925	0.072895043	0.071806117	0.070730898	0.0696699	0.068623422	0.067591624	0.066574584	0.065572284	0.064584649	0.063611589	0.062652961	0.053822117	0.046234647	0.03971674	0.034117649	0.029307927	0.025176253	0.021627016	0.018578156	0.015959108	0.013709263	0.011776605	0.010116403	0.008690237	0.007465134	0.00641274	0.0055087	0.004732113	0.004065006	0.003491939	0.002999664	6.56E-04	1.44E-04	3.14E-05	6.88E-06	1.50E-06	3.29E-07	7.20E-08	1.58E-08	3.45E-09	7.54E-10	1.65E-10	3.61E-11	7.90E-12	1.73E-12	3.78E-13	8.28E-14	1.81E-14	3.96E-15	8.67E-16	1.90E-16	1.99E-18	2.08E-20	2.18E-22	2.29E-24	2.39E-26	2.51E-28	2.63E-30	2.75E-32	2.88E-34	3.02E-36	3.16E-38	3.31E-40	3.47E-42	3.64E-44	3.81E-46	3.99E-48	4.18E-50	4.38E-52	4.59E-54	4.81E-56	5.03E-58	5.27E-60	5.52E-62	5.79E-64	6.06E-66	6.35E-68	6.65E-70	6.97E-72	7.30E-74	7.65E-76	8.01E-78	8.39E-80	8.79E-82	9.21E-84	9.65E-86	1.01E-87	1.06E-89	1.11E-91	1.16E-93	1.22E-95	1.27E-97	1.34E-99	1.40E-101
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.82E-18	-1.18E-16	-1.22E-14	-1.30E-13	-1.45E-12	-1.46E-11	-1.31E-10	-1.04E-09	-7.29E-09	-4.56E-08	-2.53E-07	-1.25E-06	-5.49E-06	-2.14E-05	-7.44E-05	-2.30E-04	-6.34E-04	-0.00155966	-0.003428083	-0.006743436	-0.011896102	-0.018869819	-0.027001828	-0.035002979	-0.041327757	-0.044745626	-0.044803664	-0.04191743	-0.037082343	-0.031422778	-0.025832497	-0.020833927	-0.016619324	-0.009192934	-0.004731452	-0.001843508	1.92E-04	0.001728074	0.00294421	0.003935702	0.00475757	0.005444556	0.006020723	0.006504019	0.00690862	0.007246146	0.007526301	0.007757304	0.007946172	0.008098903	0.008220642	0.008315813	0.00838821	0.008477276	0.008508827	0.008498367	0.008457354	0.00839425	0.008315305	0.008225136	0.008127146	0.008023844	0.007917082	0.007808218	0.00769825	0.007587913	0.007477739	0.007368116	0.007259327	0.007151572	0.007044992	0.006939689	0.006835729	0.005873758	0.00504579	0.004334466	0.003723412	0.003198506	0.002747598	0.002360254	0.002027518	0.001741689	0.001496154	0.001285234	0.001104049	9.48E-04	8.15E-04	7.00E-04	6.01E-04	5.16E-04	4.44E-04	3.81E-04	3.27E-04	7.16E-05	1.57E-05	3.43E-06	7.50E-07	1.64E-07	3.59E-08	7.86E-09	1.72E-09	3.76E-10	8.23E-11	1.80E-11	3.94E-12	8.63E-13	1.89E-13	4.13E-14	9.04E-15	1.98E-15	4.33E-16	9.47E-17	2.07E-17	2.17E-19	2.27E-21	2.38E-23	2.49E-25	2.61E-27	2.74E-29	2.87E-31	3.00E-33	3.15E-35	3.30E-37	3.45E-39	3.62E-41	3.79E-43	3.97E-45	4.16E-47	4.36E-49	4.56E-51	4.78E-53	5.01E-55	5.24E-57	5.49E-59	5.75E-61	6.03E-63	6.32E-65	6.62E-67	6.93E-69	7.26E-71	7.60E-73	7.97E-75	8.35E-77	8.74E-79	9.16E-81	9.59E-83	1.00E-84	1.05E-86	1.10E-88	1.16E-90	1.21E-92	1.27E-94	1.33E-96	1.39E-98	1.46E-100	1.53E-102
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.56E-19	-8.70E-18	1.89E-16	1.63E-15	1.74E-14	1.75E-13	1.55E-12	1.22E-11	8.56E-11	5.31E-10	2.92E-09	1.43E-08	6.19E-08	2.38E-07	8.14E-07	2.47E-06	6.66E-06	1.59E-05	3.38E-05	6.38E-05	1.07E-04	1.57E-04	2.04E-04	2.30E-04	2.19E-04	1.64E-04	6.88E-05	-5.09E-05	-1.76E-04	-2.89E-04	-3.80E-04	-4.45E-04	-4.85E-04	-5.07E-04	-4.67E-04	-4.04E-04	-3.38E-04	-2.75E-04	-2.18E-04	-1.68E-04	-1.24E-04	-8.64E-05	-5.41E-05	-2.64E-05	-2.69E-06	1.75E-05	3.48E-05	4.95E-05	6.20E-05	7.26E-05	8.15E-05	8.91E-05	9.54E-05	1.05E-04	1.12E-04	1.16E-04	1.19E-04	1.21E-04	1.21E-04	1.21E-04	1.21E-04	1.20E-04	1.19E-04	1.18E-04	1.16E-04	1.15E-04	1.13E-04	1.12E-04	1.10E-04	1.09E-04	1.07E-04	1.06E-04	1.04E-04	8.94E-05	7.68E-05	6.60E-05	5.67E-05	4.87E-05	4.18E-05	3.59E-05	3.09E-05	2.65E-05	2.28E-05	1.96E-05	1.68E-05	1.44E-05	1.24E-05	1.07E-05	9.15E-06	7.86E-06	6.75E-06	5.80E-06	4.98E-06	1.09E-06	2.39E-07	5.22E-08	1.14E-08	2.50E-09	5.47E-10	1.20E-10	2.62E-11	5.73E-12	1.25E-12	2.74E-13	6.00E-14	1.31E-14	2.87E-15	6.29E-16	1.38E-16	3.01E-17	6.59E-18	1.44E-18	3.15E-19	3.30E-21	3.46E-23	3.62E-25	3.80E-27	3.98E-29	4.17E-31	4.36E-33	4.57E-35	4.79E-37	5.02E-39	5.26E-41	5.51E-43	5.77E-45	6.04E-47	6.33E-49	6.63E-51	6.95E-53	7.28E-55	7.62E-57	7.98E-59	8.36E-61	8.76E-63	9.18E-65	9.61E-67	1.01E-68	1.06E-70	1.11E-72	1.16E-74	1.21E-76	1.27E-78	1.33E-80	1.39E-82	1.46E-84	1.53E-86	1.60E-88	1.68E-90	1.76E-92	1.84E-94	1.93E-96	2.02E-98	2.12E-100	2.22E-102	2.32E-104
																																																																																																																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																																																																																																		
1.81	0	0																																																																																																																																																																																																																																																																																																																																
0	7.9	0																																																																																																																																																																																																																																																																																																																																
0	0	27																																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																																		
