0.000000000000000000e+00,6.092999999999999527e-01,6.581177043571189156e-01
9.999999999999999547e-07,6.028000000000000025e-01,6.581174084820444747e-01
1.999999999999999909e-06,6.756100000000000438e-01,6.581171126071030386e-01
5.000000000000000409e-06,6.738100000000000200e-01,6.581162249830767585e-01
7.999999999999999638e-06,6.753100000000000769e-01,6.581153373602477430e-01
1.000000000000000082e-05,6.795100000000000584e-01,6.581147456123600525e-01
2.000000000000000164e-05,6.800100000000000033e-01,6.581117868809029936e-01
5.000000000000000240e-05,6.829100000000000170e-01,6.581029107663423083e-01
8.000000000000000654e-05,6.793100000000000804e-01,6.580940347714959726e-01
1.000000000000000048e-04,6.774100000000000676e-01,6.580881175081054746e-01
2.000000000000000096e-04,6.739100000000000090e-01,6.580585319892214846e-01
5.000000000000000104e-04,6.747100000000000319e-01,6.579697834127469225e-01
8.000000000000000383e-04,6.727100000000000302e-01,6.578810468052833649e-01
1.000000000000000021e-03,6.712100000000000843e-01,6.578218957156277691e-01
2.000000000000000042e-03,6.613899999999999224e-01,6.575262200332590012e-01
5.000000000000000104e-03,6.542899999999999272e-01,6.566399901434006869e-01
8.000000000000000167e-03,6.439899999999999514e-01,6.557549547358211273e-01
1.000000000000000056e-01,5.814099999999999824e-01,6.291854287696345693e-01
2.000000000000000111e-01,5.545899999999999164e-01,6.015250785005669121e-01
5.000000000000000000e-01,5.003999999999999559e-01,5.256285967653107072e-01
8.000000000000000444e-01,4.542899999999999716e-01,4.593082343734886663e-01
1.000000000000000000e+00,4.124999999999999778e-01,4.198115624428588322e-01
2.000000000000000000e+00,2.824099999999999944e-01,2.677966977546605287e-01
3.000000000000000000e+00,1.826000000000000123e-01,1.708268131325283157e-01
4.000000000000000000e+00,1.235900000000000054e-01,1.089699773361297447e-01
