0.000000000000000000e+00,4.728999999999999870e-02,4.756438109768493239e-02
9.999999999999999547e-07,4.708999999999999991e-02,4.756404878608868486e-02
1.999999999999999909e-06,4.608999999999999903e-02,4.756371647681414960e-02
5.000000000000000409e-06,4.528999999999999693e-02,4.756271956292068559e-02
7.999999999999999638e-06,4.988999999999999685e-02,4.756172266992209074e-02
1.000000000000000082e-05,5.028999999999999443e-02,4.756105808619772585e-02
2.000000000000000164e-05,5.141000000000000431e-02,4.755773530686754902e-02
5.000000000000000240e-05,5.078999999999999487e-02,4.754776836165699322e-02
8.000000000000000654e-05,5.191000000000000475e-02,4.753780350527585935e-02
1.000000000000000048e-04,5.131000000000000144e-02,4.753116142793304549e-02
2.000000000000000096e-04,4.988999999999999685e-02,4.749796495929159423e-02
5.000000000000000104e-04,4.868999999999999717e-02,4.739851459804639983e-02
8.000000000000000383e-04,4.828999999999999959e-02,4.729927246412967551e-02
1.000000000000000021e-03,4.778999999999999915e-02,4.723322650803008643e-02
2.000000000000000042e-03,4.438999999999999890e-02,4.690437749577830440e-02
5.000000000000000104e-03,3.928999999999999854e-02,4.593150396164247945e-02
8.000000000000000167e-03,3.318999999999999728e-02,4.497880941641888008e-02
1.000000000000000056e-01,1.939000000000000098e-02,2.365147159032408505e-02
2.000000000000000111e-01,1.510000000000000057e-02,1.176073556468779958e-02
5.000000000000000000e-01,1.089999999999999997e-02,1.445983834256328159e-03
8.000000000000000444e-01,8.800000000000000530e-03,1.777838841312418666e-04
