1.000000000000000021e-03,3.231906409200746566e-02
2.000000000000000042e-03,3.999246790590404999e-02
5.000000000000000104e-03,3.901767067873151973e-02
8.000000000000000167e-03,4.249194797557720449e-02
1.000000000000000021e-02,4.079230152819945943e-02
2.000000000000000042e-02,3.244403809549112339e-02
5.000000000000000278e-02,3.039446443835913669e-02
8.000000000000000167e-02,3.296892891012248583e-02
1.000000000000000056e-01,4.129219754213409033e-02
2.000000000000000111e-01,3.534343497631198261e-02
5.000000000000000000e-01,4.489144884246343281e-02
8.000000000000000444e-01,5.019034659017052036e-02
1.000000000000000000e+00,5.373960828910639975e-02
2.000000000000000000e+00,6.453736219009442721e-02
3.000000000000000000e+00,7.231074520677793771e-02
4.000000000000000000e+00,7.803455456632946152e-02
5.000000000000000000e+00,8.110891505202744156e-02
6.000000000000000000e+00,8.640781279973452911e-02
7.000000000000000000e+00,9.000706410006387159e-02
8.000000000000000000e+00,8.933220448125211988e-02
