600.00 ,-3133.59 ,1346.67 ,-3522.05 ,1243.08 ,2201.28 ,932.31 ,-517.95 ,-181.28 ,-802.82 ,-2020.00 ,2615.64 ,6940.52 ,7303.08 ,-725.13 ,3366.67 ,5075.90 ,-3755.13 ,3755.13 ,854.62 ,-3547.95 ,-1243.08 ,2667.44 ,-336.67 
601.00 ,2777.19 ,-738.89 ,5070.29 ,2904.59 ,815.32 ,1172.03 ,152.87 ,356.70 ,-789.84 ,-1222.98 ,2471.45 ,586.01 ,0.00 ,458.62 ,-586.01 ,3872.78 ,-2344.05 ,-76.44 ,-356.70 ,815.32 ,3439.64 ,-3388.68 ,458.62 
602.00 ,125.65 ,1080.59 ,904.68 ,2236.57 ,2035.53 ,-50.26 ,175.91 ,-100.52 ,477.47 ,-3317.16 ,2513.00 ,477.47 ,2915.08 ,-402.08 ,2186.31 ,-175.91 ,1030.33 ,-1482.67 ,-1256.50 ,-1809.36 ,2764.30 ,-1558.06 ,1005.20 
603.00 ,4219.50 ,868.72 ,1166.57 ,-1538.88 ,3177.04 ,4045.76 ,-719.80 ,297.85 ,-2953.65 ,4343.60 ,-74.46 ,1290.67 ,1960.83 ,3226.68 ,2258.67 ,3301.14 ,-1489.24 ,893.54 ,-968.00 ,-297.85 ,-273.03 ,521.23 ,-3201.86 
604.00 ,2771.86 ,-2990.69 ,-534.92 ,2018.11 ,3233.84 ,1264.36 ,-170.20 ,1653.39 ,-729.44 ,-2893.43 ,-3112.26 ,3914.64 ,2407.14 ,-2480.08 ,-1142.78 ,-1361.62 ,-559.23 ,-218.83 ,-705.12 ,-802.38 ,1774.96 ,316.09 ,-2188.31 
605.00 ,1703.40 ,-431.85 ,-671.76 ,3766.67 ,-95.97 ,983.65 ,4798.30 ,2926.97 ,-791.72 ,-1151.59 ,551.80 ,1055.63 ,2159.24 ,-599.79 ,1703.40 ,1823.36 ,-1847.35 ,-215.92 ,2015.29 ,551.80 ,-71.97 ,2471.13 ,-455.84 
606.00 ,498.43 ,-1613.97 ,1780.12 ,-332.29 ,-688.31 ,593.37 ,949.40 ,925.66 ,-1970.00 ,-2278.55 ,-1400.36 ,1376.62 ,783.25 ,-783.25 ,450.96 ,2088.67 ,3845.05 ,-332.29 ,-593.37 ,-3465.29 ,901.93 ,2563.37 ,-1803.85 
607.00 ,1138.79 ,-116.20 ,1138.79 ,-557.77 ,859.90 ,3114.24 ,1557.12 ,-1115.55 ,-1952.21 ,906.38 ,-604.25 ,3276.92 ,2207.85 ,929.62 ,418.33 ,1975.45 ,883.14 ,3811.45 ,4345.99 ,-534.53 ,-3346.64 ,1371.19 ,3788.21 
608.00 ,-523.97 ,-1321.33 ,1594.71 ,2278.15 ,-4123.45 ,2574.31 ,3029.94 ,-1868.08 ,-3462.79 ,-2847.69 ,1435.23 ,683.45 ,-68.34 ,-1731.39 ,-774.57 ,341.72 ,-1480.80 ,-2278.15 ,296.16 ,-2597.09 ,-774.57 ,501.19 ,296.16 
609.00 ,648.20 ,-1452.86 ,2436.33 ,3799.78 ,827.01 ,335.28 ,827.01 ,1296.40 ,938.77 ,-111.76 ,-1117.58 ,1385.80 ,-1229.34 ,1184.64 ,44.70 ,2995.12 ,1944.60 ,2481.04 ,2793.96 ,0.00 ,983.47 ,1005.83 ,67.06 
