410	0.924	2.478	1.239	0.413	2.774
420	4.406	8.006	6.845	5.075	11.920
430	5.488	9.009	10.110	6.393	18.392
440	6.530	11.9	11.586	9.009	20.969
450	4.977	9.422	10.307	7.475	16.681
460	4.898	8.419	8.242	6.452	13.907
470	3.875	6.432	6.845	4.839	10.878
480	3.600	6.157	4.225	4.485	10.032
490	4.501	4.780	5.272	3.796	8.439
500 	4.878   	5.429   	5.724   	4.917   	7.534
510	9.992	9.953	9.678	8.950	9.068
520	16.739	16.601	17.762	15.815	12.845
530	27.341	27.715	28.521	26.653	20.083
540	40.146	44.041	42.566	42.015	33.321
550	52.735	62.570	58.085	55.155	48.752
560	54.801	67.995	66.858	62.944	70.262
570	51.260	80.155	72.405	66.701	88.633
580	46.775	81.512	73.448	66.937	98.350
590	39.832	74.962	68.353	60.623	97.800
600	30.272	64.950	57.613	52.676	88.240
610	22.463	51.496	45.969	39.969	72.799
620	15.795	34.875	34.442	30.154	55.352
630	11.350	25.728	25.079	21.303	41.189
640	7.947	17.900	17.703	15.087	30.135
650	4.760	11.271	11.684	9.796	20.103
660	2.813	7.317	7.140	5.842	13.632
670	2.065	4.485	4.544	3.698	8.065
680	1.593	2.813	2.655	2.419	5.134
690	0.964	1.436	1.318	1.259	2.833
700	0.669	0.472	0.079	0.138	0.551
